day_of_year,day_of_week,is_holiday,avg_temp,precip,cloud,humidity,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
3,4,0,-0.1,1.1,0.77,0.79,0.352,0.359,0.361,0.376,0.332,0.391,0.619,0.516,0.557,0.575,0.435,0.474,0.458,0.424,0.446,0.438,0.441,0.594,0.613,0.602,0.593,0.406,0.378,0.409
4,5,0,-2.4,0.3,0.81,0.61,0.444,0.409,0.398,0.416,0.419,0.454,0.617,0.612,0.607,0.632,0.487,0.526,0.525,0.517,0.514,0.521,0.537,0.679,0.655,0.666,0.682,0.459,0.455,0.461
5,6,1,-1.4,2.3,0.83,0.6,0.325,0.35,0.319,0.319,0.287,0.31,0.448,0.46,0.433,0.464,0.364,0.391,0.409,0.366,0.424,0.409,0.374,0.504,0.509,0.493,0.512,0.353,0.356,0.375
6,7,1,1.0,0.1,0.62,0.61,0.456,0.473,0.484,0.452,0.457,0.467,0.678,0.677,0.659,0.689,0.579,0.568,0.576,0.567,0.554,0.575,0.554,0.752,0.737,0.735,0.74,0.471,0.49,0.508
7,1,0,-1.0,0.3,0.62,0.62,0.402,0.413,0.447,0.437,0.431,0.423,0.627,0.597,0.62,0.6,0.513,0.488,0.514,0.531,0.524,0.514,0.524,0.658,0.663,0.682,0.61,0.441,0.455,0.452
8,2,0,1.9,2.0,0.79,0.67,0.312,0.289,0.315,0.315,0.311,0.335,0.49,0.461,0.446,0.467,0.391,0.432,0.391,0.398,0.377,0.425,0.381,0.529,0.513,0.533,0.534,0.382,0.343,0.377
9,3,0,1.7,0.7,0.58,0.76,0.458,0.435,0.409,0.452,0.446,0.413,0.638,0.64,0.66,0.631,0.575,0.55,0.528,0.557,0.562,0.548,0.534,0.663,0.68,0.714,0.694,0.46,0.46,0.473
10,4,0,-1.1,1.0,0.44,0.83,0.429,0.421,0.473,0.462,0.452,0.448,0.714,0.665,0.677,0.675,0.559,0.582,0.551,0.585,0.609,0.565,0.578,0.75,0.717,0.757,0.731,0.492,0.536,0.511
11,5,0,4.4,0.0,0.33,0.74,0.278,0.265,0.221,0.279,0.304,0.242,0.406,0.398,0.421,0.402,0.32,0.353,0.359,0.342,0.335,0.352,0.343,0.422,0.453,0.443,0.466,0.356,0.307,0.304
12,6,1,3.5,0.5,0.48,0.74,0.31,0.335,0.321,0.333,0.33,0.331,0.459,0.494,0.496,0.498,0.405,0.413,0.419,0.425,0.397,0.427,0.417,0.545,0.564,0.58,0.556,0.382,0.402,0.4
13,7,1,-1.1,0.9,0.27,0.95,0.365,0.339,0.408,0.358,0.37,0.406,0.533,0.515,0.522,0.541,0.408,0.445,0.439,0.383,0.428,0.452,0.437,0.577,0.581,0.576,0.582,0.397,0.371,0.403
14,1,0,-2.7,0.6,0.34,0.57,0.347,0.374,0.343,0.35,0.352,0.327,0.54,0.56,0.533,0.553,0.456,0.426,0.432,0.432,0.467,0.46,0.446,0.564,0.555,0.592,0.556,0.409,0.401,0.392
15,2,0,-0.1,3.3,0.63,0.52,0.288,0.336,0.323,0.305,0.356,0.273,0.484,0.446,0.501,0.483,0.404,0.365,0.41,0.401,0.395,0.375,0.383,0.515,0.503,0.497,0.508,0.344,0.337,0.357
16,3,0,-1.0,1.3,0.13,0.79,0.353,0.337,0.315,0.343,0.327,0.343,0.52,0.486,0.471,0.486,0.402,0.413,0.463,0.445,0.412,0.423,0.438,0.55,0.493,0.563,0.533,0.378,0.396,0.357
17,4,0,2.4,0.7,0.74,0.76,0.362,0.372,0.388,0.334,0.376,0.36,0.542,0.576,0.571,0.527,0.493,0.491,0.505,0.468,0.477,0.46,0.491,0.589,0.609,0.569,0.603,0.423,0.438,0.442
18,5,0,-0.4,1.7,0.85,0.76,0.374,0.397,0.421,0.373,0.391,0.353,0.589,0.594,0.539,0.555,0.459,0.502,0.489,0.498,0.445,0.474,0.509,0.572,0.663,0.615,0.632,0.408,0.429,0.432
19,6,1,0.1,1.6,0.51,0.57,0.431,0.368,0.412,0.426,0.419,0.407,0.62,0.623,0.564,0.598,0.503,0.483,0.511,0.484,0.546,0.509,0.506,0.644,0.648,0.636,0.638,0.444,0.446,0.43
20,7,1,3.4,1.5,0.39,0.63,0.429,0.428,0.451,0.405,0.392,0.428,0.612,0.634,0.638,0.605,0.538,0.531,0.481,0.503,0.535,0.512,0.501,0.653,0.651,0.662,0.674,0.492,0.453,0.475
21,1,0,2.8,0.2,0.34,0.81,0.322,0.307,0.352,0.343,0.326,0.344,0.531,0.509,0.487,0.47,0.437,0.454,0.417,0.434,0.416,0.406,0.398,0.538,0.509,0.546,0.531,0.361,0.378,0.367
22,2,0,0.7,0.2,0.28,0.79,0.36,0.393,0.395,0.405,0.414,0.403,0.614,0.587,0.625,0.59,0.505,0.494,0.529,0.495,0.481,0.521,0.516,0.665,0.644,0.668,0.66,0.453,0.452,0.447
23,3,0,2.0,0.3,0.6,0.73,0.299,0.316,0.261,0.281,0.295,0.272,0.446,0.436,0.417,0.449,0.33,0.388,0.392,0.357,0.356,0.34,0.352,0.453,0.469,0.493,0.473,0.311,0.322,0.321
24,4,0,3.6,6.2,0.79,0.58,0.373,0.346,0.362,0.375,0.376,0.365,0.58,0.565,0.577,0.612,0.454,0.471,0.461,0.489,0.482,0.493,0.475,0.634,0.656,0.576,0.59,0.405,0.4,0.429
25,5,0,-0.7,0.4,0.63,0.7,0.435,0.442,0.413,0.434,0.434,0.423,0.655,0.668,0.669,0.626,0.551,0.55,0.532,0.561,0.525,0.535,0.558,0.679,0.724,0.716,0.726,0.459,0.539,0.483
26,6,1,-0.6,0.2,0.23,0.73,0.399,0.417,0.459,0.461,0.411,0.46,0.624,0.648,0.652,0.669,0.524,0.52,0.545,0.534,0.541,0.531,0.536,0.719,0.71,0.684,0.719,0.501,0.472,0.5
27,7,1,4.0,0.7,0.55,0.75,0.337,0.364,0.321,0.309,0.324,0.319,0.511,0.526,0.496,0.467,0.422,0.437,0.39,0.398,0.425,0.42,0.408,0.543,0.543,0.519,0.554,0.36,0.373,0.389
28,1,0,-0.7,0.4,0.37,0.64,0.389,0.446,0.409,0.439,0.443,0.411,0.636,0.618,0.621,0.604,0.582,0.526,0.499,0.519,0.544,0.494,0.523,0.674,0.735,0.701,0.718,0.477,0.445,0.48
29,2,0,-4.3,0.9,0.12,0.74,0.427,0.394,0.365,0.393,0.382,0.39,0.569,0.593,0.573,0.595,0.511,0.494,0.497,0.509,0.516,0.469,0.482,0.629,0.606,0.633,0.67,0.4,0.463,0.435
30,3,0,-0.1,1.1,0.85,0.68,0.266,0.288,0.249,0.261,0.272,0.249,0.372,0.382,0.37,0.356,0.327,0.324,0.285,0.321,0.328,0.327,0.312,0.432,0.416,0.42,0.42,0.325,0.277,0.27
31,4,0,1.2,0.1,0.76,0.69,0.397,0.422,0.441,0.372,0.392,0.417,0.595,0.533,0.621,0.588,0.501,0.493,0.51,0.519,0.513,0.466,0.499,0.663,0.665,0.667,0.649,0.434,0.444,0.437
32,5,0,1.3,1.2,0.53,0.74,0.455,0.454,0.467,0.481,0.448,0.432,0.666,0.668,0.658,0.691,0.56,0.549,0.572,0.573,0.545,0.551,0.546,0.76,0.722,0.722,0.724,0.518,0.512,0.478
33,6,1,2.0,0.7,0.42,0.68,0.313,0.369,0.333,0.335,0.342,0.357,0.526,0.525,0.513,0.516,0.443,0.42,0.433,0.469,0.415,0.436,0.42,0.577,0.531,0.573,0.562,0.405,0.377,0.368
34,7,1,2.0,0.8,0.53,0.62,0.489,0.485,0.49,0.492,0.438,0.472,0.709,0.736,0.726,0.728,0.609,0.618,0.598,0.556,0.582,0.594,0.578,0.801,0.823,0.778,0.782,0.551,0.568,0.567
35,1,0,1.8,1.2,0.5,0.56,0.279,0.265,0.259,0.267,0.29,0.258,0.401,0.412,0.391,0.414,0.334,0.359,0.377,0.332,0.387,0.326,0.343,0.472,0.455,0.488,0.458,0.315,0.302,0.292
36,2,0,5.2,3.0,0.94,0.66,0.426,0.379,0.421,0.405,0.422,0.441,0.582,0.602,0.602,0.595,0.474,0.522,0.514,0.553,0.455,0.519,0.519,0.66,0.661,0.659,0.698,0.477,0.424,0.471
37,3,0,5.0,0.7,0.24,0.61,0.258,0.292,0.246,0.284,0.247,0.267,0.436,0.363,0.384,0.395,0.308,0.3,0.344,0.315,0.304,0.331,0.337,0.418,0.474,0.4,0.427,0.303,0.287,0.288
38,4,0,2.5,0.2,0.41,0.6,0.459,0.437,0.436,0.426,0.455,0.449,0.65,0.675,0.624,0.66,0.566,0.543,0.556,0.549,0.574,0.557,0.565,0.687,0.735,0.723,0.71,0.492,0.474,0.532
39,5,0,5.0,0.5,0.46,0.67,0.368,0.375,0.403,0.38,0.385,0.364,0.553,0.58,0.607,0.536,0.464,0.484,0.488,0.497,0.489,0.478,0.52,0.637,0.603,0.669,0.63,0.427,0.426,0.43
40,6,1,1.9,1.2,0.57,0.57,0.436,0.448,0.462,0.444,0.464,0.443,0.679,0.731,0.685,0.708,0.53,0.56,0.593,0.544,0.558,0.558,0.57,0.747,0.765,0.737,0.718,0.485,0.51,0.505
41,7,1,3.7,0.7,0.3,0.94,0.493,0.44,0.441,0.451,0.496,0.459,0.714,0.742,0.67,0.704,0.582,0.595,0.586,0.587,0.625,0.584,0.599,0.741,0.751,0.784,0.773,0.53,0.544,0.526
42,1,0,3.5,0.5,0.04,0.69,0.311,0.361,0.313,0.334,0.315,0.321,0.475,0.478,0.497,0.461,0.412,0.417,0.403,0.399,0.411,0.436,0.368,0.543,0.521,0.556,0.52,0.389,0.425,0.409
43,2,0,2.6,2.5,0.58,0.69,0.431,0.443,0.45,0.42,0.448,0.459,0.669,0.681,0.644,0.68,0.561,0.529,0.546,0.587,0.565,0.497,0.521,0.699,0.685,0.712,0.712,0.521,0.5,0.529
44,3,0,1.4,0.9,0.37,0.73,0.238,0.227,0.255,0.227,0.23,0.239,0.381,0.367,0.347,0.381,0.296,0.312,0.299,0.323,0.312,0.299,0.311,0.388,0.4,0.398,0.395,0.273,0.272,0.28
45,4,0,3.1,1.3,0.45,0.47,0.487,0.447,0.424,0.468,0.411,0.433,0.664,0.68,0.664,0.657,0.562,0.546,0.564,0.569,0.56,0.573,0.57,0.693,0.758,0.742,0.711,0.495,0.488,0.537
46,5,0,6.6,0.4,0.4,0.8,0.401,0.39,0.414,0.393,0.399,0.383,0.604,0.595,0.566,0.612,0.519,0.496,0.49,0.452,0.484,0.508,0.508,0.626,0.64,0.639,0.637,0.442,0.48,0.422
47,6,1,2.4,3.4,0.19,0.71,0.272,0.28,0.272,0.339,0.328,0.296,0.402,0.434,0.453,0.361,0.348,0.32,0.364,0.34,0.317,0.362,0.337,0.451,0.434,0.455,0.414,0.27,0.302,0.334
48,7,1,-0.3,1.1,0.47,0.55,0.311,0.298,0.285,0.259,0.244,0.252,0.389,0.423,0.416,0.393,0.353,0.376,0.337,0.35,0.314,0.344,0.367,0.416,0.462,0.429,0.492,0.286,0.305,0.281
49,1,0,0.9,0.2,0.3,0.72,0.281,0.285,0.291,0.241,0.285,0.261,0.402,0.412,0.416,0.423,0.347,0.32,0.379,0.312,0.375,0.367,0.343,0.438,0.467,0.409,0.433,0.293,0.319,0.298
50,2,0,3.1,0.4,0.61,0.69,0.423,0.475,0.435,0.419,0.426,0.438,0.658,0.7,0.716,0.707,0.583,0.584,0.593,0.613,0.587,0.603,0.562,0.74,0.739,0.738,0.745,0.514,0.494,0.526
51,3,0,2.0,1.6,0.34,0.74,0.4,0.421,0.411,0.399,0.415,0.413,0.578,0.622,0.625,0.628,0.519,0.521,0.493,0.509,0.496,0.496,0.478,0.673,0.675,0.667,0.675,0.472,0.468,0.458
52,4,0,3.7,2.8,0.25,0.59,0.359,0.338,0.393,0.363,0.363,0.36,0.571,0.574,0.574,0.547,0.471,0.46,0.465,0.426,0.469,0.467,0.443,0.62,0.63,0.603,0.627,0.427,0.433,0.437
53,5,0,3.8,0.4,0.12,0.81,0.289,0.261,0.266,0.309,0.255,0.298,0.446,0.432,0.427,0.417,0.366,0.342,0.355,0.362,0.327,0.348,0.319,0.455,0.443,0.469,0.431,0.329,0.316,0.325
54,6,1,7.1,0.4,0.55,0.56,0.456,0.454,0.456,0.433,0.481,0.455,0.696,0.659,0.701,0.678,0.596,0.57,0.567,0.586,0.592,0.533,0.584,0.762,0.754,0.733,0.725,0.5,0.484,0.512
55,7,1,4.9,0.2,0.4,0.74,0.364,0.405,0.373,0.375,0.347,0.355,0.497,0.533,0.585,0.543,0.447,0.482,0.436,0.444,0.425,0.441,0.444,0.584,0.576,0.618,0.597,0.386,0.392,0.436
56,1,0,2.8,1.3,0.44,0.8,0.297,0.347,0.322,0.317,0.35,0.31,0.455,0.512,0.472,0.491,0.406,0.38,0.384,0.403,0.393,0.408,0.412,0.536,0.556,0.506,0.571,0.387,0.377,0.378
57,2,0,-1.8,0.8,0.36,0.76,0.457,0.459,0.492,0.434,0.48,0.488,0.702,0.697,0.67,0.715,0.572,0.594,0.569,0.526,0.603,0.608,0.551,0.734,0.718,0.755,0.76,0.541,0.521,0.546
58,3,0,3.3,0.1,0.46,0.78,0.466,0.434,0.421,0.418,0.463,0.407,0.637,0.631,0.637,0.661,0.527,0.544,0.555,0.543,0.532,0.569,0.555,0.724,0.726,0.726,0.717,0.488,0.513,0.48
59,4,0,7.3,0.3,0.26,0.72,0.368,0.356,0.366,0.341,0.366,0.393,0.596,0.546,0.537,0.544,0.499,0.503,0.475,0.475,0.445,0.471,0.433,0.6,0.593,0.597,0.612,0.413,0.407,0.446
60,5,0,5.3,1.1,0.34,0.66,0.453,0.434,0.437,0.478,0.441,0.456,0.674,0.714,0.702,0.715,0.6,0.595,0.575,0.549,0.575,0.556,0.558,0.737,0.735,0.746,0.752,0.493,0.501,0.513
61,6,1,6.9,1.5,0.34,0.69,0.234,0.228,0.297,0.268,0.222,0.263,0.383,0.399,0.4,0.403,0.329,0.317,0.343,0.346,0.322,0.333,0.331,0.439,0.412,0.429,0.401,0.319,0.288,0.266
62,7,1,6.3,1.2,0.57,0.81,0.451,0.405,0.403,0.41,0.393,0.414,0.615,0.597,0.582,0.595,0.475,0.461,0.475,0.464,0.509,0.514,0.532,0.623,0.622,0.637,0.637,0.434,0.442,0.457
63,1,0,6.4,1.5,0.36,0.73,0.386,0.363,0.369,0.358,0.373,0.373,0.514,0.51,0.586,0.57,0.477,0.471,0.474,0.424,0.465,0.434,0.49,0.635,0.594,0.606,0.589,0.394,0.421,0.384
64,2,0,6.3,0.3,0.53,0.57,0.324,0.317,0.32,0.316,0.326,0.357,0.499,0.473,0.511,0.509,0.43,0.449,0.433,0.436,0.398,0.39,0.425,0.541,0.573,0.531,0.566,0.396,0.375,0.391
65,3,0,5.7,0.6,0.69,0.6,0.434,0.428,0.428,0.423,0.444,0.456,0.63,0.664,0.68,0.626,0.515,0.561,0.537,0.511,0.568,0.556,0.534,0.722,0.685,0.702,0.735,0.441,0.486,0.521
66,4,0,1.0,0.7,0.26,0.63,0.461,0.456,0.434,0.457,0.452,0.466,0.682,0.703,0.712,0.67,0.541,0.583,0.576,0.549,0.576,0.568,0.562,0.743,0.712,0.704,0.745,0.512,0.565,0.526
67,5,0,1.7,2.8,0.78,0.59,0.375,0.33,0.321,0.34,0.373,0.359,0.516,0.533,0.509,0.534,0.421,0.438,0.475,0.433,0.447,0.43,0.464,0.544,0.559,0.557,0.538,0.407,0.409,0.377
68,6,1,6.1,0.4,0.93,0.79,0.303,0.306,0.272,0.288,0.263,0.25,0.432,0.403,0.399,0.385,0.392,0.349,0.364,0.357,0.348,0.365,0.349,0.456,0.436,0.452,0.445,0.29,0.342,0.337
69,7,1,6.2,0.5,0.47,0.53,0.294,0.296,0.276,0.267,0.259,0.257,0.465,0.427,0.415,0.438,0.346,0.357,0.356,0.328,0.329,0.382,0.381,0.475,0.452,0.475,0.425,0.291,0.297,0.328
70,1,0,5.3,0.6,0.34,0.74,0.265,0.282,0.259,0.283,0.276,0.258,0.411,0.42,0.428,0.435,0.315,0.317,0.324,0.34,0.355,0.343,0.4,0.45,0.451,0.43,0.454,0.302,0.281,0.333
71,2,0,4.4,3.2,0.29,0.84,0.25,0.263,0.269,0.241,0.232,0.245,0.382,0.405,0.397,0.375,0.284,0.354,0.339,0.321,0.306,0.322,0.315,0.429,0.442,0.406,0.387,0.277,0.284,0.278
72,3,0,5.0,0.5,0.23,0.87,0.339,0.333,0.368,0.322,0.352,0.346,0.5,0.482,0.526,0.543,0.42,0.428,0.419,0.457,0.45,0.437,0.445,0.538,0.508,0.56,0.551,0.383,0.362,0.387
73,4,0,8.0,1.8,0.48,0.81,0.428,0.43,0.397,0.391,0.408,0.435,0.614,0.618,0.609,0.618,0.51,0.527,0.557,0.509,0.531,0.516,0.507,0.67,0.63,0.676,0.655,0.481,0.437,0.452
74,5,0,5.5,0.2,0.61,0.74,0.324,0.31,0.31,0.345,0.328,0.289,0.501,0.472,0.51,0.507,0.412,0.392,0.433,0.394,0.413,0.411,0.424,0.544,0.541,0.565,0.532,0.386,0.409,0.374
75,6,1,6.6,1.3,0.31,0.64,0.394,0.373,0.366,0.344,0.4,0.381,0.52,0.559,0.545,0.56,0.41,0.472,0.445,0.466,0.476,0.457,0.479,0.622,0.595,0.596,0.602,0.407,0.457,0.418
76,7,1,5.1,0.3,0.64,0.7,0.36,0.332,0.331,0.342,0.366,0.345,0.498,0.495,0.528,0.53,0.468,0.449,0.419,0.402,0.461,0.382,0.402,0.565,0.537,0.535,0.516,0.388,0.383,0.395
77,1,0,8.6,1.2,0.43,0.67,0.435,0.429,0.434,0.416,0.385,0.447,0.605,0.664,0.659,0.65,0.513,0.534,0.52,0.539,0.533,0.546,0.587,0.719,0.691,0.699,0.694,0.436,0.48,0.496
78,2,0,8.0,0.9,0.68,0.6,0.262,0.283,0.251,0.233,0.268,0.229,0.375,0.371,0.404,0.403,0.333,0.344,0.333,0.304,0.323,0.306,0.32,0.442,0.412,0.409,0.375,0.278,0.32,0.303
79,3,0,11.7,0.0,0.28,0.51,0.441,0.434,0.462,0.446,0.465,0.429,0.674,0.663,0.687,0.648,0.547,0.542,0.596,0.532,0.569,0.578,0.581,0.682,0.709,0.698,0.717,0.487,0.505,0.53
80,4,0,6.1,0.8,0.35,0.58,0.308,0.347,0.339,0.332,0.304,0.351,0.524,0.52,0.491,0.551,0.446,0.428,0.393,0.444,0.437,0.424,0.402,0.582,0.529,0.543,0.579,0.391,0.368,0.408
81,5,0,10.2,0.3,0.55,0.72,0.297,0.305,0.305,0.286,0.304,0.287,0.418,0.463,0.42,0.467,0.361,0.381,0.37,0.363,0.323,0.342,0.344,0.5,0.455,0.491,0.474,0.336,0.351,0.331
82,6,1,6.5,0.4,0.24,0.69,0.444,0.503,0.468,0.476,0.466,0.453,0.699,0.698,0.689,0.675,0.575,0.614,0.583,0.591,0.594,0.563,0.585,0.786,0.773,0.74,0.768,0.56,0.504,0.543
83,7,1,9.0,0.4,0.39,0.7,0.364,0.364,0.362,0.359,0.381,0.371,0.57,0.552,0.552,0.552,0.469,0.439,0.442,0.488,0.5,0.48,0.489,0.57,0.587,0.603,0.603,0.429,0.408,0.397
84,1,0,6.2,1.1,0.22,0.58,0.437,0.445,0.44,0.425,0.459,0.419,0.712,0.646,0.665,0.686,0.545,0.572,0.561,0.551,0.549,0.574,0.541,0.695,0.705,0.708,0.699,0.481,0.508,0.509
85,2,0,11.2,0.2,0.83,0.94,0.263,0.243,0.29,0.29,0.26,0.27,0.402,0.386,0.415,0.39,0.288,0.331,0.322,0.331,0.334,0.336,0.345,0.402,0.417,0.462,0.406,0.262,0.321,0.308
86,3,0,12.2,0.0,0.74,0.69,0.307,0.232,0.294,0.27,0.279,0.313,0.447,0.429,0.443,0.445,0.389,0.36,0.374,0.349,0.353,0.376,0.381,0.445,0.444,0.466,0.469,0.34,0.356,0.311
87,4,0,8.2,1.6,0.51,0.69,0.487,0.486,0.456,0.471,0.503,0.478,0.669,0.677,0.683,0.69,0.587,0.576,0.561,0.556,0.562,0.554,0.597,0.769,0.765,0.771,0.765,0.494,0.509,0.529
88,5,0,8.1,3.9,0.36,0.96,0.408,0.441,0.454,0.462,0.43,0.439,0.633,0.621,0.64,0.633,0.515,0.539,0.526,0.514,0.526,0.524,0.534,0.679,0.704,0.705,0.674,0.469,0.471,0.455
89,6,1,8.2,2.5,0.14,0.62,0.46,0.438,0.487,0.439,0.441,0.461,0.696,0.647,0.683,0.658,0.533,0.569,0.578,0.537,0.571,0.582,0.567,0.76,0.708,0.72,0.754,0.495,0.507,0.529
90,7,1,7.9,0.7,0.87,0.84,0.36,0.36,0.38,0.363,0.34,0.337,0.562,0.532,0.51,0.534,0.469,0.452,0.447,0.454,0.469,0.435,0.457,0.615,0.586,0.564,0.584,0.429,0.381,0.392
91,1,0,8.2,0.5,0.74,0.76,0.33,0.333,0.311,0.351,0.359,0.314,0.512,0.525,0.525,0.522,0.408,0.407,0.439,0.473,0.426,0.414,0.46,0.558,0.554,0.523,0.587,0.385,0.35,0.393
92,2,0,9.3,2.9,0.53,0.78,0.348,0.344,0.376,0.339,0.377,0.366,0.529,0.533,0.517,0.539,0.443,0.407,0.435,0.454,0.394,0.452,0.511,0.598,0.592,0.576,0.575,0.391,0.402,0.405
93,3,0,12.9,1.7,0.52,0.62,0.455,0.395,0.457,0.459,0.431,0.475,0.677,0.672,0.688,0.715,0.547,0.512,0.577,0.567,0.55,0.562,0.602,0.732,0.696,0.736,0.72,0.504,0.487,0.475
94,4,0,8.2,0.5,0.12,0.72,0.402,0.429,0.454,0.475,0.462,0.462,0.654,0.659,0.678,0.648,0.561,0.556,0.541,0.588,0.558,0.589,0.535,0.774,0.725,0.684,0.723,0.511,0.493,0.47
95,5,0,13.3,0.4,0.74,0.61,0.412,0.369,0.412,0.384,0.416,0.411,0.574,0.643,0.659,0.65,0.558,0.501,0.539,0.545,0.515,0.502,0.494,0.684,0.693,0.688,0.674,0.471,0.451,0.476
96,6,1,11.9,0.1,0.36,0.63,0.439,0.42,0.408,0.412,0.449,0.433,0.648,0.649,0.651,0.639,0.575,0.533,0.526,0.543,0.573,0.525,0.534,0.704,0.701,0.688,0.736,0.513,0.488,0.493
97,7,1,10.8,1.2,0.84,0.55,0.313,0.361,0.331,0.304,0.331,0.312,0.508,0.481,0.479,0.536,0.394,0.445,0.392,0.417,0.41,0.373,0.392,0.548,0.52,0.533,0.536,0.397,0.353,0.367
98,1,0,12.1,0.2,0.7,0.82,0.259,0.291,0.263,0.308,0.295,0.27,0.388,0.387,0.426,0.427,0.347,0.339,0.35,0.322,0.357,0.347,0.364,0.398,0.463,0.393,0.445,0.291,0.33,0.296
99,2,0,11.9,1.2,0.73,0.66,0.452,0.478,0.452,0.475,0.472,0.444,0.711,0.694,0.672,0.733,0.568,0.562,0.585,0.578,0.59,0.573,0.602,0.75,0.779,0.776,0.768,0.531,0.533,0.556
100,3,0,13.7,0.6,0.61,0.71,0.35,0.287,0.342,0.302,0.294,0.311,0.514,0.482,0.505,0.48,0.461,0.396,0.368,0.442,0.427,0.403,0.411,0.545,0.503,0.539,0.551,0.402,0.354,0.391
101,4,0,9.8,0.3,0.55,0.58,0.359,0.403,0.382,0.408,0.41,0.382,0.607,0.611,0.628,0.585,0.477,0.502,0.518,0.509,0.505,0.503,0.518,0.634,0.659,0.663,0.623,0.463,0.462,0.473
102,5,0,13.6,0.3,0.41,0.91,0.251,0.309,0.28,0.256,0.275,0.289,0.413,0.452,0.385,0.438,0.364,0.344,0.343,0.38,0.327,0.347,0.376,0.424,0.475,0.478,0.465,0.309,0.302,0.283
103,6,1,13.2,1.0,0.77,0.65,0.263,0.215,0.238,0.256,0.249,0.246,0.361,0.362,0.362,0.38,0.312,0.322,0.318,0.322,0.291,0.306,0.319,0.394,0.379,0.385,0.378,0.267,0.28,0.275
104,7,1,15.0,0.1,0.8,0.64,0.422,0.424,0.444,0.405,0.415,0.448,0.632,0.647,0.703,0.642,0.521,0.548,0.607,0.571,0.538,0.533,0.574,0.718,0.703,0.742,0.715,0.538,0.48,0.531
105,1,0,10.6,1.0,0.55,0.71,0.423,0.45,0.471,0.476,0.485,0.46,0.697,0.699,0.687,0.675,0.594,0.613,0.586,0.54,0.588,0.571,0.558,0.741,0.748,0.761,0.745,0.512,0.499,0.575
106,2,0,11.9,1.0,0.39,0.73,0.404,0.441,0.417,0.398,0.422,0.419,0.61,0.601,0.634,0.633,0.494,0.507,0.551,0.522,0.503,0.498,0.529,0.674,0.687,0.629,0.642,0.442,0.452,0.456
107,3,0,12.1,1.9,0.11,0.64,0.321,0.306,0.307,0.288,0.299,0.242,0.471,0.461,0.447,0.478,0.388,0.37,0.348,0.337,0.383,0.421,0.431,0.515,0.525,0.525,0.484,0.373,0.33,0.381
108,4,0,13.2,0.3,0.78,0.47,0.42,0.406,0.418,0.434,0.414,0.424,0.611,0.604,0.622,0.602,0.567,0.533,0.539,0.533,0.55,0.502,0.523,0.702,0.644,0.707,0.674,0.477,0.492,0.477
109,5,0,9.7,0.3,0.31,0.67,0.234,0.313,0.28,0.301,0.257,0.255,0.422,0.392,0.423,0.419,0.331,0.345,0.319,0.327,0.345,0.296,0.359,0.442,0.411,0.46,0.457,0.345,0.296,0.319
110,6,1,13.2,1.4,0.29,0.81,0.352,0.361,0.349,0.328,0.35,0.336,0.486,0.52,0.506,0.499,0.463,0.41,0.447,0.41,0.418,0.484,0.46,0.547,0.541,0.562,0.581,0.392,0.36,0.375
111,7,1,13.3,0.5,0.23,0.64,0.494,0.489,0.437,0.465,0.45,0.468,0.746,0.724,0.721,0.711,0.601,0.572,0.594,0.576,0.588,0.603,0.587,0.797,0.799,0.751,0.833,0.528,0.534,0.539
112,1,0,12.9,0.1,0.69,0.64,0.349,0.379,0.346,0.339,0.365,0.366,0.524,0.556,0.54,0.552,0.437,0.426,0.417,0.438,0.462,0.431,0.449,0.608,0.578,0.591,0.583,0.422,0.406,0.397
113,2,0,11.7,2.0,0.21,0.62,0.455,0.422,0.45,0.447,0.462,0.457,0.606,0.635,0.626,0.692,0.569,0.536,0.555,0.521,0.531,0.572,0.532,0.702,0.719,0.711,0.706,0.535,0.478,0.498
114,3,0,10.7,1.3,0.39,0.64,0.361,0.35,0.35,0.339,0.329,0.311,0.526,0.509,0.539,0.531,0.425,0.427,0.434,0.416,0.463,0.448,0.458,0.542,0.589,0.56,0.563,0.397,0.418,0.409
115,4,0,15.8,2.4,0.5,0.85,0.403,0.432,0.41,0.427,0.435,0.438,0.605,0.616,0.615,0.632,0.514,0.517,0.513,0.529,0.529,0.502,0.522,0.676,0.645,0.716,0.657,0.466,0.45,0.451
116,5,0,14.8,2.2,0.47,0.7,0.382,0.397,0.421,0.399,0.441,0.4,0.627,0.615,0.592,0.589,0.498,0.498,0.493,0.535,0.527,0.539,0.526,0.67,0.658,0.653,0.663,0.459,0.448,0.452
117,6,1,15.7,1.1,0.65,0.72,0.284,0.314,0.287,0.298,0.318,0.301,0.413,0.448,0.465,0.409,0.389,0.383,0.368,0.367,0.38,0.371,0.395,0.497,0.504,0.54,0.452,0.294,0.32,0.33
118,7,1,14.8,1.3,0.79,0.59,0.232,0.236,0.239,0.254,0.231,0.248,0.346,0.376,0.407,0.357,0.302,0.346,0.342,0.292,0.331,0.306,0.274,0.411,0.413,0.418,0.388,0.28,0.281,0.265
119,1,0,14.7,0.7,0.43,0.75,0.415,0.451,0.44,0.447,0.469,0.44,0.648,0.649,0.689,0.665,0.472,0.523,0.564,0.502,0.558,0.565,0.504,0.714,0.707,0.704,0.714,0.5,0.469,0.486
